tx_from,tx_to,tx_hash,block_number,token_sold_address,token_sold_amount_raw,token_bought_address,token_bought_amount_raw,amount_usd
0x702886308bfdd78e62a3114dac1b5159b030c4d2,0x284f11109359a7e1306c3e447ef14d38400063ff,0xa0df5c3a8419a95ccc226c633793a978208b86b9ed72edec09bff29ddec31681,8624489,0x4200000000000000000000000000000000000006,2118000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,509557677767423153347320,5486.9967
0x584f4b2024b84c83f598344528a2e8fc866415a3,0x284f11109359a7e1306c3e447ef14d38400063ff,0x94ec0e5ed6685ae83fc77f730f0b01c3da4988f0687bc0e8b4010fe0946ec966,8624519,0x4200000000000000000000000000000000000006,730000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,202363129521165407701244,1891.1745
0x1e626aad6eb0f1e7b7a14c7f3fc1e14fd20e3bca,0x284f11109359a7e1306c3e447ef14d38400063ff,0xbf3b8ae7b117710be65b1acc1bcd6d83f3439c816da31328a596351911fc05ee,8613167,0x4200000000000000000000000000000000000006,190000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,436913501542734057427208,499.453
0xba59cc27d105471798e7ade128b40fbbaa744792,0x284f11109359a7e1306c3e447ef14d38400063ff,0x418c304b7a084f66f48fb985899cb01d47e748dc315cf63b96fa4e632d75c11f,8614297,0x4200000000000000000000000000000000000006,319000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,617856933789705882757274,839.5091100000001
0xeb778ea07a28012d34374e1a45f56c2f5418e890,0x284f11109359a7e1306c3e447ef14d38400063ff,0x6b7880d1d94968633c7f2e5487fd8be432f9f153465f7e7c604890dc9c8231be,8615207,0x4200000000000000000000000000000000000006,148000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,277533546285558060511248,389.64552
0x673801911f8faf805f046cd85269337b7d2154d8,0x284f11109359a7e1306c3e447ef14d38400063ff,0x3dc5483c1bdd64fda4756edf2052e806514997d467398d5f2698820d441857a8,8618742,0x4200000000000000000000000000000000000006,380000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,474235136835448122677880,1011.5372
0xb717b1f6c6ecc5f4923726e4c13a16ca93727da9,0x284f11109359a7e1306c3e447ef14d38400063ff,0xf94d84d3efaf49cd9b3d03ca164ffa9aead9541de2e4d9bab2043a34d4c8d003,8624469,0x4200000000000000000000000000000000000006,2440000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,631582649762608711917718,6321.186
0x676eb771478603cacb185a8f105e399787253cba,0x284f11109359a7e1306c3e447ef14d38400063ff,0xf9180a44e9de491790b8fbd91d0575d164fc8fe6fb15ade1d92430fc142d5522,8615186,0x4200000000000000000000000000000000000006,140000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,248578685232752748140465,368.5836
0x4e879d89795b214f9b516b6aa233150c975a9329,0x284f11109359a7e1306c3e447ef14d38400063ff,0x5b304e37c01479dd3b429c73fb4db9c4a8e08402b036a4f3cb5b35183551aa72,8612307,0x4200000000000000000000000000000000000006,110000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,489602745525334801789545,289.57280000000003
0x889fc1090e9185af7bde406bfc54145c543bff63,0x284f11109359a7e1306c3e447ef14d38400063ff,0x927a0946723016cd435ba03df4809447de56894c46438d6a26d031cacbb74bf4,8613163,0x4200000000000000000000000000000000000006,86000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,199679755698846167359704,226.06819999999996
0x908e47da962c6402d8c00c71d5e31810e3c7820c,0x284f11109359a7e1306c3e447ef14d38400063ff,0x8dfea6ef915c48d4947742bd4169af300a42363cc580ce3316a10c0976733cee,8612332,0x4200000000000000000000000000000000000006,444000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,1862494827708548328745459,1168.82112
0x6219210fedd6eba1f381e9e033eeee737e592c53,0x284f11109359a7e1306c3e447ef14d38400063ff,0x8c73b7c8380c7fa9d50fcb9adf787b6f0d86f9172e3a6eba55f0c35d020f3704,8613122,0x4200000000000000000000000000000000000006,210000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,416832548839130918529460,552.0269999999999
0x877b21254f87f20e9d4b92a6fceb7acd82ca2167,0x284f11109359a7e1306c3e447ef14d38400063ff,0xef06e5a5b2c2e9646b90df7857178654218738b8806a5931651ff68fe5e626d0,8612286,0x4200000000000000000000000000000000000006,310000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,1476422807785132881468385,816.0688
0xe30c692915a0ac25c894b14a1a33e57b8a13bc21,0x284f11109359a7e1306c3e447ef14d38400063ff,0x4bdff3851cae1115258843d03fad19145660ce4d99dce509fa49d0e4e03e8238,8618057,0x4200000000000000000000000000000000000006,347000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,479880106261198756400877,916.78788
0x66cc7cfe7d0ab8439d6552e3b40db2cd9be10157,0x284f11109359a7e1306c3e447ef14d38400063ff,0x9ced35943b97c5461375a8d0057e01cf136f6247996b35830913353e5afc5625,8614273,0x4200000000000000000000000000000000000006,380000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,757850091241706983466328,1000.0422
0x929ec5ff6c2b523ad7b7da8f9fc2ef82a566dbe0,0x284f11109359a7e1306c3e447ef14d38400063ff,0xe05ca295ce990ed05f07cc50602e09d4c9a7dff893d526582178aa92d4ffba29,8623094,0x4200000000000000000000000000000000000006,2190000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,424553083937487095444995,5669.7348
0xd52ef6d29c50c8bcd45998e8f4b95ff9d501dba7,0x284f11109359a7e1306c3e447ef14d38400063ff,0x98c2f7a48af237c72a65cee08c7f5fc609a975243656717d87c3a46a41382341,8623115,0x4200000000000000000000000000000000000006,1840000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,391188884759798200991414,4763.612800000001
0xef7bbb0adac227511d3f95b54de1ef2465fb5baa,0x284f11109359a7e1306c3e447ef14d38400063ff,0x55ed0133dc111ec0b06428f39456acad17d2465045604b534371536fab487988,8618738,0x4200000000000000000000000000000000000006,420000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,534877561379852496556511,1118.0148
